feature,importance_mean,importance_std
PAY_0,0.08538463509045965,0.008041920927039316
BILL_AMT1,0.02021254723655086,0.0024853454803055604
LIMIT_BAL,0.01731408028555077,0.0038879205565776477
PAY_AMT2,0.007999062001811597,0.002316832134215815
PAY_4,0.006146449893621208,0.0013283707803154
PAY_AMT3,0.0058659043570278065,0.0019302312734752053
PAY_3,0.004163582154650136,0.00116565263990791
BILL_AMT3,0.003662790965001728,0.001251732619555177
PAY_2,0.0033208945665075262,0.0011597844036866727
PAY_6,0.0024347884347713177,0.0017049456751223086
EDUCATION,0.002151089963090924,0.0010242857340345835
MARRIAGE,0.0017936916337524256,0.0007025400682960613
PAY_AMT6,0.0017550681789369137,0.0007401701073532738
PAY_AMT1,0.001633811550383535,0.0016256676026999487
SEX,0.001225178025881668,0.0011121065501803766
PAY_AMT5,0.0010328489855759182,0.0014683240901028423
PAY_5,0.0008419650405184553,0.0012850658633543185
PAY_AMT4,0.0006950251282357822,0.0005459041092698663
BILL_AMT5,0.0005344224972427813,0.0006871252494997391
BILL_AMT4,0.0004121805764746744,0.000961077930344471
AGE,0.00028409258856627596,0.0004644077532001893
BILL_AMT6,0.00014969873048380488,0.0009634404144030628
BILL_AMT2,-0.0009184894025254353,0.000840546561188055
